pm25Grade1h,pm10Value24,so2Value,pm10Grade1h,pm10Value,o3Grade,pm25Flag,khaiGrade,pm25Value,no2Flag,mangName,stationName,no2Value,so2Grade,stationCode,coFlag,khaiValue,coValue,pm10Flag,sidoName,pm25Value24,no2Grade,o3Flag,pm25Grade,so2Flag,coGrade,dataTime,pm10Grade,o3Value
1.0,20,0.003,1.0,15,1.0,,1.0,11,,도시대기,중구,0.01,1.0,111121,,49,0.3,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.029
1.0,33,0.002,1.0,26,1.0,,2.0,10,,도로변대기,한강대로,0.013,1.0,111122,,53,0.4,,서울,15,1.0,,1.0,,1.0,2025-07-07 01:00,2.0,0.019
1.0,22,0.003,1.0,18,1.0,,2.0,12,,도시대기,종로구,0.012,1.0,111123,,51,0.3,,서울,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.025
2.0,29,0.003,1.0,27,1.0,,2.0,17,,도로변대기,청계천로,0.01,1.0,111124,,51,0.3,,서울,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.022
1.0,23,0.003,1.0,18,1.0,,1.0,11,,도로변대기,종로,0.01,1.0,111125,,50,0.3,,서울,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
2.0,25,0.003,,-,1.0,,2.0,20,,도시대기,용산구,0.011,1.0,111131,,59,0.3,통신장애,서울,19,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.022
2.0,29,0.003,1.0,24,1.0,,2.0,17,,도시대기,광진구,0.009,1.0,111141,,56,0.4,,서울,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.029
2.0,24,0.003,,-,1.0,,2.0,18,,도시대기,성동구,0.01,1.0,111142,,54,0.3,통신장애,서울,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.024
1.0,26,0.003,1.0,20,1.0,,1.0,3,,도로변대기,강변북로,0.011,1.0,111143,,43,0.3,,서울,6,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
1.0,30,0.003,1.0,24,1.0,,2.0,14,,도시대기,중랑구,0.01,1.0,111151,,56,0.3,,서울,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.022
1.0,28,0.003,1.0,23,1.0,,2.0,14,,도시대기,동대문구,0.013,1.0,111152,,51,0.3,,서울,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.022
1.0,29,0.003,1.0,21,1.0,,1.0,6,,도로변대기,홍릉로,0.012,1.0,111154,,48,0.3,,서울,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,21,0.003,1.0,20,1.0,,1.0,7,,도시대기,성북구,0.01,1.0,111161,,40,0.4,,서울,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.021
1.0,30,0.003,1.0,26,1.0,,1.0,12,,도로변대기,정릉로,0.015,1.0,111162,,50,0.3,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.022
1.0,21,0.003,1.0,20,1.0,,1.0,8,,도시대기,도봉구,0.008,1.0,111171,,45,0.4,,서울,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.027
1.0,25,0.002,1.0,24,1.0,,1.0,12,,도시대기,은평구,0.01,1.0,111181,,47,0.4,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.016
1.0,19,0.003,1.0,15,1.0,,1.0,3,,도시대기,서대문구,0.008,1.0,111191,,38,0.4,,서울,7,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,22,0.003,1.0,17,2.0,,2.0,12,,도시대기,마포구,0.007,1.0,111201,,52,0.3,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.032
1.0,30,0.003,1.0,24,1.0,,1.0,10,,도로변대기,신촌로,0.017,1.0,111202,,50,0.5,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
1.0,21,0.002,1.0,18,1.0,,1.0,10,,도시대기,강서구,0.006,1.0,111212,,50,0.2,,서울,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.03
2.0,22,0.003,1.0,19,1.0,,1.0,17,,도로변대기,공항대로,0.023,1.0,111213,,40,0.3,,서울,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.019
1.0,18,0.002,1.0,19,1.0,,1.0,9,,도시대기,구로구,0.005,1.0,111221,,47,0.3,,서울,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,21,0.003,1.0,16,2.0,,2.0,11,,도시대기,영등포구,0.006,1.0,111231,,52,0.2,,서울,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.031
1.0,25,0.003,1.0,21,1.0,,1.0,5,,도로변대기,영등포로,0.01,1.0,111232,,43,0.3,,서울,8,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,23,0.002,1.0,22,1.0,,1.0,10,,도시대기,동작구,0.008,1.0,111241,,38,0.3,,서울,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,30,0.002,1.0,25,1.0,,1.0,11,,도로변대기,동작대로 중앙차로,0.01,1.0,111242,,50,0.3,,서울,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,20,0.002,1.0,17,1.0,,1.0,6,,도시대기,관악구,0.008,1.0,111251,,36,0.3,,서울,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.021
1.0,27,0.002,1.0,24,1.0,,1.0,10,,도시대기,강남구,0.008,1.0,111261,,47,0.3,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,22,0.003,1.0,17,1.0,,1.0,8,,도시대기,서초구,0.008,1.0,111262,,40,0.4,,서울,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.024
1.0,21,0.003,1.0,14,1.0,,1.0,4,,도로변대기,도산대로,0.009,1.0,111263,,44,0.3,,서울,8,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
